id,sympy,natural_language
7370,"ForAll(y, Implies(And(P(y), P(y)), S(y)))","For all y, if P(y) and P(y) then S(y)."
7371,"ForAll(v, Implies(R(v), And(Q(v), U(v))))","For all v, if R(v) then Q(v) and U(v)."
7372,"ForAll(v, Implies(Q(v), Or(P(v), S(v))))","For all v, if Q(v) then P(v) or S(v)."
7373,"ForAll(v, Implies(U(v), And(V(v), P(v))))","For all v, if U(v) then V(v) and P(v)."
7374,"ForAll(v, Implies(Q(v), Exists(z, O(v,z))))","For all v, if Q(v) then there exists z such that O(v,z)."
7375,"ForAll(v, Implies(Exists(w, O(v,w)), P(v)))","For all v, if there exists w with O(v,w) then P(v)."
7376,"ForAll(w, Implies(P(w), Or(R(w), T(w))))","For all w, if P(w) then R(w) or T(w)."
7377,"ForAll(x, Implies(R(x), And(Q(x), V(x))))","For all x, if R(x) then Q(x) and V(x)."
7378,"ForAll(v, Implies(U(v), And(T(v), U(v))))","For all v, if U(v) then T(v) and U(v)."
7379,"ForAll(v, Implies(And(P(v), S(v)), V(v)))","For all v, if P(v) and S(v) then V(v)."
7380,"ForAll(z, Implies(Exists(x, M(z,x)), V(z)))","For all z, if there exists x with M(z,x) then V(z)."
7381,"ForAll(x, Implies(Q(x), Exists(v, O(x,v))))","For all x, if Q(x) then there exists v such that O(x,v)."
7382,"ForAll(z, Implies(V(z), And(S(z), R(z))))","For all z, if V(z) then S(z) and R(z)."
7383,"ForAll(z, Implies(R(z), Or(R(z), V(z))))","For all z, if R(z) then R(z) or V(z)."
7384,"ForAll(u, Implies(T(u), Or(V(u), P(u))))","For all u, if T(u) then V(u) or P(u)."
7385,"Exists(u, ForAll(z, Implies(O(u,z), R(z))))","There exists u such that for all z, if O(u,z) then R(z)."
7386,"Exists(z, Exists(v, And(L(z,v), Q(z))))","There exist z and v such that L(z,v) and Q(z)."
7387,"ForAll(z, Implies(R(z), And(P(z), S(z))))","For all z, if R(z) then P(z) and S(z)."
7388,"ForAll(y, Or(T(y), Exists(z, P(z))))","For all y, either T(y) or there exists z such that P(z)."
7389,"Exists(w, ForAll(y, Equivalent(V(w), O(w,y))))","There exists w such that for all y, V(w) iff O(w,y)."
7390,"ForAll(w, Implies(S(w), Q(w)))","For all w, if S(w) then Q(w)."
7391,"ForAll(z, Implies(T(z), Exists(v, O(z,v))))","For all z, if T(z) then there exists v such that O(z,v)."
7392,"ForAll(w, Or(S(w), Exists(y, S(y))))","For all w, either S(w) or there exists y such that S(y)."
7393,"ForAll(z, Implies(V(z), Exists(y, M(z,y))))","For all z, if V(z) then there exists y such that M(z,y)."
7394,"ForAll(v, Implies(Q(v), Exists(z, L(v,z))))","For all v, if Q(v) then there exists z such that L(v,z)."
7395,"ForAll(x, Exists(u, M(x,u)))","For all x, there exists u such that M(x,u)."
7396,"ForAll(x, Implies(Exists(u, L(x,u)), Q(x)))","For all x, if there exists u with L(x,u) then Q(x)."
7397,"ForAll(z, Or(Q(z), Exists(x, S(x))))","For all z, either Q(z) or there exists x such that S(x)."
7398,"ForAll(v, Implies(T(v), Exists(w, N(v,w))))","For all v, if T(v) then there exists w such that N(v,w)."
7399,"ForAll(v, Implies(R(v), And(T(v), R(v))))","For all v, if R(v) then T(v) and R(v)."
7400,"Exists(u, ForAll(z, Equivalent(V(u), M(u,z))))","There exists u such that for all z, V(u) iff M(u,z)."
7401,"Exists(y, ForAll(v, Implies(O(y,v), P(v))))","There exists y such that for all v, if O(y,v) then P(v)."
7402,"Exists(x, ForAll(v, Equivalent(U(x), L(x,v))))","There exists x such that for all v, U(x) iff L(x,v)."
7403,"Exists(z, ForAll(u, Implies(L(z,u), P(u))))","There exists z such that for all u, if L(z,u) then P(u)."
7404,"ForAll(u, Or(U(u), Exists(x, V(x))))","For all u, either U(u) or there exists x such that V(x)."
7405,"ForAll(v, Implies(Q(v), Exists(x, N(v,x))))","For all v, if Q(v) then there exists x such that N(v,x)."
7406,"ForAll(x, Implies(Exists(y, L(x,y)), S(x)))","For all x, if there exists y with L(x,y) then S(x)."
7407,"Exists(u, And(R(u), T(u)))",There exists u such that R(u) and T(u).
7408,"ForAll(v, Implies(U(v), Or(V(v), S(v))))","For all v, if U(v) then V(v) or S(v)."
7409,"ForAll(w, Implies(Q(w), Or(S(w), P(w))))","For all w, if Q(w) then S(w) or P(w)."
7410,"Exists(y, ForAll(z, Implies(L(y,z), P(z))))","There exists y such that for all z, if L(y,z) then P(z)."
7411,"ForAll(w, Implies(Q(w), And(V(w), V(w))))","For all w, if Q(w) then V(w) and V(w)."
7412,"ForAll(z, Implies(Q(z), Exists(v, L(z,v))))","For all z, if Q(z) then there exists v such that L(z,v)."
7413,"ForAll(x, Implies(And(T(x), P(x)), R(x)))","For all x, if T(x) and P(x) then R(x)."
7414,"ForAll(x, Or(R(x), Exists(u, U(u))))","For all x, either R(x) or there exists u such that U(u)."
7415,"ForAll(w, Or(R(w), Exists(u, S(u))))","For all w, either R(w) or there exists u such that S(u)."
7416,"Exists(v, Exists(y, And(M(v,y), R(v))))","There exist v and y such that M(v,y) and R(v)."
7417,"ForAll(x, Implies(P(x), And(T(x), P(x))))","For all x, if P(x) then T(x) and P(x)."
7418,"ForAll(y, Implies(And(P(y), T(y)), U(y)))","For all y, if P(y) and T(y) then U(y)."
7419,"ForAll(y, Or(Q(y), Exists(w, S(w))))","For all y, either Q(y) or there exists w such that S(w)."
7420,"ForAll(x, Implies(T(x), Or(U(x), U(x))))","For all x, if T(x) then U(x) or U(x)."
7421,"Exists(w, ForAll(y, Implies(L(w,y), T(y))))","There exists w such that for all y, if L(w,y) then T(y)."
7422,"ForAll(y, Implies(Q(y), Or(T(y), R(y))))","For all y, if Q(y) then T(y) or R(y)."
7423,"ForAll(z, Implies(And(U(z), T(z)), Q(z)))","For all z, if U(z) and T(z) then Q(z)."
7424,"Exists(w, Exists(y, And(L(w,y), Q(w))))","There exist w and y such that L(w,y) and Q(w)."
7425,"ForAll(z, Implies(T(z), Exists(u, L(z,u))))","For all z, if T(z) then there exists u such that L(z,u)."
7426,"ForAll(u, Implies(S(u), Or(Q(u), S(u))))","For all u, if S(u) then Q(u) or S(u)."
7427,"Exists(z, ForAll(v, Equivalent(U(z), L(z,v))))","There exists z such that for all v, U(z) iff L(z,v)."
7428,"ForAll(y, Implies(U(y), Exists(v, O(y,v))))","For all y, if U(y) then there exists v such that O(y,v)."
7429,"ForAll(u, Implies(Exists(y, L(u,y)), V(u)))","For all u, if there exists y with L(u,y) then V(u)."
7430,"Exists(y, Implies(S(y), ForAll(u, U(u))))","There exists y such that if S(y) then for all u, U(u)."
7431,"ForAll(x, Or(S(x), Exists(z, R(z))))","For all x, either S(x) or there exists z such that R(z)."
7432,"ForAll(x, Implies(And(S(x), P(x)), T(x)))","For all x, if S(x) and P(x) then T(x)."
7433,"Exists(w, Exists(x, Exists(v, And(L(w,x), L(x,v)))))","There exist w, x, and v such that L(w,x) and L(x,v)."
7434,"Exists(x, And(Not(T(x)), Exists(u, L(x,u))))","There exists x such that not T(x) and there exists u with L(x,u)."
7435,"Exists(w, Implies(V(w), ForAll(z, R(z))))","There exists w such that if V(w) then for all z, R(z)."
7436,"ForAll(u, Implies(U(u), Or(Q(u), U(u))))","For all u, if U(u) then Q(u) or U(u)."
7437,"Exists(y, Implies(U(y), ForAll(w, V(w))))","There exists y such that if U(y) then for all w, V(w)."
7438,"ForAll(y, Implies(Exists(u, O(y,u)), T(y)))","For all y, if there exists u with O(y,u) then T(y)."
7439,"Exists(x, Implies(V(x), ForAll(w, Q(w))))","There exists x such that if V(x) then for all w, Q(w)."
7440,"ForAll(u, Implies(P(u), And(R(u), S(u))))","For all u, if P(u) then R(u) and S(u)."
7441,"ForAll(v, Or(S(v), Exists(w, Q(w))))","For all v, either S(v) or there exists w such that Q(w)."
7442,"ForAll(v, Or(T(v), Exists(u, V(u))))","For all v, either T(v) or there exists u such that V(u)."
7443,"ForAll(y, Implies(S(y), Exists(z, M(y,z))))","For all y, if S(y) then there exists z such that M(y,z)."
7444,"ForAll(w, Implies(And(P(w), P(w)), R(w)))","For all w, if P(w) and P(w) then R(w)."
7445,"Exists(x, Exists(y, Exists(v, And(O(x,y), O(y,v)))))","There exist x, y, and v such that O(x,y) and O(y,v)."
7446,"Exists(v, Exists(z, And(N(v,z), R(v))))","There exist v and z such that N(v,z) and R(v)."
7447,"Exists(x, Implies(P(x), ForAll(z, T(z))))","There exists x such that if P(x) then for all z, T(z)."
7448,"ForAll(u, Implies(Exists(w, O(u,w)), U(u)))","For all u, if there exists w with O(u,w) then U(u)."
7449,"Exists(w, ForAll(x, Implies(M(w,x), V(x))))","There exists w such that for all x, if M(w,x) then V(x)."
7450,"ForAll(y, Implies(T(y), And(Q(y), V(y))))","For all y, if T(y) then Q(y) and V(y)."
7451,"ForAll(y, Implies(Exists(u, L(y,u)), R(y)))","For all y, if there exists u with L(y,u) then R(y)."
7452,"ForAll(z, Or(Not(R(z)), T(z)))","For all z, either not R(z) or T(z)."
7453,"ForAll(y, Implies(P(y), Or(Q(y), P(y))))","For all y, if P(y) then Q(y) or P(y)."
7454,"ForAll(z, Implies(U(z), V(z)))","For all z, if U(z) then V(z)."
7455,"Exists(w, Exists(x, And(N(w,x), P(w))))","There exist w and x such that N(w,x) and P(w)."
7456,"Exists(v, ForAll(w, Implies(O(v,w), V(w))))","There exists v such that for all w, if O(v,w) then V(w)."
7457,"ForAll(z, Implies(R(z), Or(V(z), U(z))))","For all z, if R(z) then V(z) or U(z)."
7458,"ForAll(u, Implies(U(u), And(S(u), U(u))))","For all u, if U(u) then S(u) and U(u)."
7459,"ForAll(y, Or(Q(y), Exists(u, V(u))))","For all y, either Q(y) or there exists u such that V(u)."
7460,"ForAll(u, Implies(P(u), And(S(u), Q(u))))","For all u, if P(u) then S(u) and Q(u)."
7461,"ForAll(w, Implies(S(w), And(P(w), P(w))))","For all w, if S(w) then P(w) and P(w)."
7462,"ForAll(w, Implies(And(Q(w), V(w)), R(w)))","For all w, if Q(w) and V(w) then R(w)."
7463,"Exists(x, Implies(P(x), ForAll(w, S(w))))","There exists x such that if P(x) then for all w, S(w)."
7464,"ForAll(v, Or(V(v), Exists(u, U(u))))","For all v, either V(v) or there exists u such that U(u)."
7465,"ForAll(y, Implies(T(y), And(V(y), Q(y))))","For all y, if T(y) then V(y) and Q(y)."
7466,"Exists(u, Implies(U(u), ForAll(z, U(z))))","There exists u such that if U(u) then for all z, U(z)."
7467,"Exists(u, Implies(P(u), ForAll(z, T(z))))","There exists u such that if P(u) then for all z, T(z)."
7468,"ForAll(u, Implies(T(u), Or(U(u), V(u))))","For all u, if T(u) then U(u) or V(u)."
7469,"Exists(u, And(Not(S(u)), Exists(z, L(u,z))))","There exists u such that not S(u) and there exists z with L(u,z)."
7470,"Exists(y, Exists(u, And(M(y,u), T(y))))","There exist y and u such that M(y,u) and T(y)."
7471,"ForAll(w, Implies(V(w), And(V(w), U(w))))","For all w, if V(w) then V(w) and U(w)."
7472,"ForAll(x, Implies(T(x), Or(V(x), T(x))))","For all x, if T(x) then V(x) or T(x)."
7473,"ForAll(w, Implies(Exists(u, M(w,u)), R(w)))","For all w, if there exists u with M(w,u) then R(w)."
7474,"Exists(u, Implies(T(u), ForAll(w, U(w))))","There exists u such that if T(u) then for all w, U(w)."
7475,"ForAll(x, Implies(Exists(u, M(x,u)), T(x)))","For all x, if there exists u with M(x,u) then T(x)."
7476,"ForAll(x, Implies(Q(x), Or(S(x), S(x))))","For all x, if Q(x) then S(x) or S(x)."
7477,"Exists(y, ForAll(w, Implies(N(y,w), U(w))))","There exists y such that for all w, if N(y,w) then U(w)."
7478,"ForAll(x, Implies(V(x), Exists(w, M(x,w))))","For all x, if V(x) then there exists w such that M(x,w)."
7479,"ForAll(v, Implies(R(v), Exists(z, M(v,z))))","For all v, if R(v) then there exists z such that M(v,z)."
7480,"ForAll(v, Implies(And(R(v), U(v)), Q(v)))","For all v, if R(v) and U(v) then Q(v)."
7481,"ForAll(v, Or(P(v), Exists(y, T(y))))","For all v, either P(v) or there exists y such that T(y)."
7482,"ForAll(v, Implies(U(v), Or(S(v), R(v))))","For all v, if U(v) then S(v) or R(v)."
7483,"Exists(w, And(Not(V(w)), Exists(z, O(w,z))))","There exists w such that not V(w) and there exists z with O(w,z)."
7484,"ForAll(z, Implies(R(z), Or(Q(z), P(z))))","For all z, if R(z) then Q(z) or P(z)."
7485,"ForAll(w, Or(Not(S(w)), T(w)))","For all w, either not S(w) or T(w)."
7486,"Exists(v, ForAll(w, Implies(L(v,w), S(w))))","There exists v such that for all w, if L(v,w) then S(w)."
7487,"Exists(w, Exists(y, Exists(z, And(M(w,y), M(y,z)))))","There exist w, y, and z such that M(w,y) and M(y,z)."
7488,"Exists(x, Implies(P(x), ForAll(v, P(v))))","There exists x such that if P(x) then for all v, P(v)."
7489,"Exists(u, ForAll(z, Equivalent(V(u), L(u,z))))","There exists u such that for all z, V(u) iff L(u,z)."
7490,"Exists(x, ForAll(z, Equivalent(Q(x), N(x,z))))","There exists x such that for all z, Q(x) iff N(x,z)."
7491,"ForAll(u, Implies(And(S(u), S(u)), R(u)))","For all u, if S(u) and S(u) then R(u)."
7492,"Exists(z, ForAll(u, Implies(N(z,u), U(u))))","There exists z such that for all u, if N(z,u) then U(u)."
7493,"ForAll(v, Implies(And(P(v), T(v)), V(v)))","For all v, if P(v) and T(v) then V(v)."
7494,"Exists(z, Exists(v, And(O(z,v), P(z))))","There exist z and v such that O(z,v) and P(z)."
7495,"Exists(z, ForAll(v, Implies(L(z,v), Q(v))))","There exists z such that for all v, if L(z,v) then Q(v)."
7496,"ForAll(u, Or(U(u), Exists(y, T(y))))","For all u, either U(u) or there exists y such that T(y)."
7497,"ForAll(v, Implies(Q(v), Or(T(v), U(v))))","For all v, if Q(v) then T(v) or U(v)."
7498,"Exists(u, ForAll(w, Equivalent(Q(u), L(u,w))))","There exists u such that for all w, Q(u) iff L(u,w)."
7499,"ForAll(z, Implies(T(z), And(Q(z), V(z))))","For all z, if T(z) then Q(z) and V(z)."
7500,"Exists(z, Exists(y, And(N(z,y), T(z))))","There exist z and y such that N(z,y) and T(z)."
7501,"Exists(x, ForAll(w, Equivalent(T(x), N(x,w))))","There exists x such that for all w, T(x) iff N(x,w)."
7502,"Exists(u, And(Not(R(u)), Exists(z, L(u,z))))","There exists u such that not R(u) and there exists z with L(u,z)."
7503,"Exists(u, ForAll(y, Equivalent(R(u), N(u,y))))","There exists u such that for all y, R(u) iff N(u,y)."
7504,"ForAll(w, Implies(P(w), Exists(z, N(w,z))))","For all w, if P(w) then there exists z such that N(w,z)."
7505,"Exists(x, ForAll(w, Equivalent(S(x), O(x,w))))","There exists x such that for all w, S(x) iff O(x,w)."
7506,"Exists(w, Exists(y, And(N(w,y), V(w))))","There exist w and y such that N(w,y) and V(w)."
7507,"ForAll(z, Equivalent(R(z), T(z)))","For all z, R(z) if and only if T(z)."
7508,"ForAll(w, Or(S(w), Exists(u, U(u))))","For all w, either S(w) or there exists u such that U(u)."
7509,"ForAll(u, Implies(V(u), Exists(z, N(u,z))))","For all u, if V(u) then there exists z such that N(u,z)."
7510,"Exists(z, ForAll(u, Implies(O(z,u), Q(u))))","There exists z such that for all u, if O(z,u) then Q(u)."
7511,"Exists(y, Exists(u, And(M(y,u), S(y))))","There exist y and u such that M(y,u) and S(y)."
7512,"Exists(v, And(Not(S(v)), Exists(z, N(v,z))))","There exists v such that not S(v) and there exists z with N(v,z)."
7513,"ForAll(u, Implies(Q(u), And(T(u), V(u))))","For all u, if Q(u) then T(u) and V(u)."
7514,"ForAll(u, Implies(And(V(u), S(u)), V(u)))","For all u, if V(u) and S(u) then V(u)."
7515,"Exists(v, And(Not(Q(v)), Exists(x, L(v,x))))","There exists v such that not Q(v) and there exists x with L(v,x)."
7516,"Exists(w, ForAll(y, Equivalent(V(w), M(w,y))))","There exists w such that for all y, V(w) iff M(w,y)."
7517,"Exists(x, ForAll(u, Equivalent(P(x), N(x,u))))","There exists x such that for all u, P(x) iff N(x,u)."
7518,"Exists(w, Exists(u, And(N(w,u), S(w))))","There exist w and u such that N(w,u) and S(w)."
7519,"Exists(v, Implies(T(v), ForAll(w, V(w))))","There exists v such that if T(v) then for all w, V(w)."
7520,"ForAll(v, Implies(U(v), And(Q(v), P(v))))","For all v, if U(v) then Q(v) and P(v)."
7521,"ForAll(v, Implies(And(U(v), U(v)), P(v)))","For all v, if U(v) and U(v) then P(v)."
7522,"ForAll(x, Equivalent(T(x), S(x)))","For all x, T(x) if and only if S(x)."
7523,"Exists(w, ForAll(y, Equivalent(R(w), M(w,y))))","There exists w such that for all y, R(w) iff M(w,y)."
7524,"ForAll(w, Or(U(w), Exists(x, Q(x))))","For all w, either U(w) or there exists x such that Q(x)."
7525,"Exists(z, Exists(x, Exists(v, And(O(z,x), O(x,v)))))","There exist z, x, and v such that O(z,x) and O(x,v)."
7526,"ForAll(x, Implies(And(T(x), V(x)), V(x)))","For all x, if T(x) and V(x) then V(x)."
7527,"Exists(x, ForAll(v, Implies(N(x,v), Q(v))))","There exists x such that for all v, if N(x,v) then Q(v)."
7528,"Exists(u, Exists(w, Exists(v, And(L(u,w), L(w,v)))))","There exist u, w, and v such that L(u,w) and L(w,v)."
7529,"Exists(x, Exists(y, And(L(x,y), P(x))))","There exist x and y such that L(x,y) and P(x)."
7530,"ForAll(v, Or(U(v), Exists(y, T(y))))","For all v, either U(v) or there exists y such that T(y)."
7531,"ForAll(x, Or(Not(U(x)), T(x)))","For all x, either not U(x) or T(x)."
7532,"ForAll(w, Implies(And(T(w), T(w)), R(w)))","For all w, if T(w) and T(w) then R(w)."
7533,"ForAll(v, Implies(S(v), Exists(y, O(v,y))))","For all v, if S(v) then there exists y such that O(v,y)."
7534,"ForAll(v, Implies(S(v), And(Q(v), U(v))))","For all v, if S(v) then Q(v) and U(v)."
7535,"Exists(w, And(T(w), V(w)))",There exists w such that T(w) and V(w).
7536,"Exists(v, And(Not(R(v)), Exists(w, N(v,w))))","There exists v such that not R(v) and there exists w with N(v,w)."
7537,"ForAll(v, Or(U(v), Exists(u, V(u))))","For all v, either U(v) or there exists u such that V(u)."
7538,"Exists(w, Implies(S(w), ForAll(z, V(z))))","There exists w such that if S(w) then for all z, V(z)."
7539,"ForAll(v, Implies(S(v), Exists(u, M(v,u))))","For all v, if S(v) then there exists u such that M(v,u)."
7540,"ForAll(x, Implies(T(x), Exists(z, M(x,z))))","For all x, if T(x) then there exists z such that M(x,z)."
7541,"ForAll(z, Implies(And(Q(z), T(z)), T(z)))","For all z, if Q(z) and T(z) then T(z)."
7542,"ForAll(v, Implies(And(V(v), V(v)), R(v)))","For all v, if V(v) and V(v) then R(v)."
7543,"ForAll(v, Implies(Exists(u, O(v,u)), R(v)))","For all v, if there exists u with O(v,u) then R(v)."
7544,"ForAll(z, Implies(T(z), Exists(v, L(z,v))))","For all z, if T(z) then there exists v such that L(z,v)."
7545,"ForAll(v, Implies(And(V(v), S(v)), U(v)))","For all v, if V(v) and S(v) then U(v)."
7546,"ForAll(z, Or(T(z), Exists(u, P(u))))","For all z, either T(z) or there exists u such that P(u)."
7547,"Exists(v, Implies(Q(v), ForAll(x, Q(x))))","There exists v such that if Q(v) then for all x, Q(x)."
7548,"Exists(x, ForAll(w, Implies(L(x,w), U(w))))","There exists x such that for all w, if L(x,w) then U(w)."
7549,"ForAll(z, Implies(U(z), Or(S(z), V(z))))","For all z, if U(z) then S(z) or V(z)."
7550,"Exists(x, Exists(w, And(L(x,w), U(x))))","There exist x and w such that L(x,w) and U(x)."
7551,"Exists(z, Exists(y, And(L(z,y), Q(z))))","There exist z and y such that L(z,y) and Q(z)."
7552,"ForAll(x, Implies(V(x), Or(Q(x), T(x))))","For all x, if V(x) then Q(x) or T(x)."
7553,"ForAll(w, Or(U(w), Exists(u, Q(u))))","For all w, either U(w) or there exists u such that Q(u)."
7554,"ForAll(u, Implies(P(u), Or(R(u), P(u))))","For all u, if P(u) then R(u) or P(u)."
7555,"ForAll(y, Implies(And(R(y), V(y)), R(y)))","For all y, if R(y) and V(y) then R(y)."
7556,"ForAll(w, Equivalent(R(w), T(w)))","For all w, R(w) if and only if T(w)."
7557,"ForAll(z, Implies(And(T(z), Q(z)), T(z)))","For all z, if T(z) and Q(z) then T(z)."
7558,"ForAll(z, Implies(Exists(w, N(z,w)), V(z)))","For all z, if there exists w with N(z,w) then V(z)."
7559,"ForAll(v, Implies(Exists(w, M(v,w)), Q(v)))","For all v, if there exists w with M(v,w) then Q(v)."
7560,"ForAll(y, Implies(Exists(w, M(y,w)), U(y)))","For all y, if there exists w with M(y,w) then U(y)."
7561,"Exists(w, Implies(R(w), ForAll(z, S(z))))","There exists w such that if R(w) then for all z, S(z)."
7562,"Exists(z, And(Not(V(z)), Exists(w, O(z,w))))","There exists z such that not V(z) and there exists w with O(z,w)."
7563,"ForAll(u, Implies(V(u), And(S(u), P(u))))","For all u, if V(u) then S(u) and P(u)."
7564,"ForAll(y, Or(S(y), Exists(w, V(w))))","For all y, either S(y) or there exists w such that V(w)."
7565,"ForAll(v, Or(U(v), Exists(w, P(w))))","For all v, either U(v) or there exists w such that P(w)."
7566,"Exists(w, ForAll(u, Implies(M(w,u), V(u))))","There exists w such that for all u, if M(w,u) then V(u)."
7567,"ForAll(y, Implies(U(y), Exists(v, N(y,v))))","For all y, if U(y) then there exists v such that N(y,v)."
