expression,english_description
"¬((Subset(u,w) → Equal(h(g(z)),a)) ∧ Human(v))","It is not the case that if u is a subset of w, then h(g(z)) is equal to a and v is a human"
¬∃z (Mortal(z) ∧ ¬Professor(w)),It is not the case that There exists z such that z is mortal and It is not the case that w is a professor
∃v (Cat(v) ∧ ∀y (Cat(y) → Mortal(h(w)))),"There exists v such that v is a cat and For every y, if y is a cat, then h(w) is mortal"
"¬Loves(z,g(w))",It is not the case that z loves g(w)
"¬¬(Odd(a) ↔ Likes(x,w))",It is not the case that It is not the case that a is odd if and only if x likes w
w = h(y),W equals h(y)
∀x (Human(x) → ¬∃u (Mortal(u) ∧ Animal(u))),"For every x, if x is a human, then It is not the case that There exists u such that u is mortal and u is an animal"
(¬c = v ∧ Mortal(z)),It is not the case that c equals v and z is mortal
"Less(g(w),b)",G(w) is less than b
¬∃w (Cat(w) ∧ ∀v (Even(v) → Dog(g(z)))),"It is not the case that There exists w such that w is a cat and For every v, if v is even, then g(z) is a dog"
"((Mortal(1) ↔ Likes(0,f(f(z)))) ∧ Mortal(y))",1 is mortal if and only if 0 likes f(f(z)) and y is mortal
∀y (Animal(y) → ∃z (Dog(z) ∧ Even(v))),"For every y, if y is an animal, then There exists z such that z is a dog and v is even"
"Member(x,f(y))",X is a member of f(y)
∀w (Cat(w) → v = v),"For every w, if w is a cat, then v equals v"
"∀u (Human(u) → (¬ParentOf(y,1) ∧ Prime(y)))","For every u, if u is a human, then It is not the case that y is a parent of 1 and y is prime"
Student(f(x)),F(x) is a student
h(x) = c,H(x) equals c
(∃u ¬Odd(0) → Animal(z)),"If There exists u, It is not the case that 0 is odd, then z is an animal"
"((∃u Greater(2,v) → Greater(b,h(v))) ∨ ∃y ∀w (Prime(w) → f(x) = 0))","If There exists u, 2 is greater than v, then b is greater than h(v) or There exists y, For every w, if w is prime, then f(x) equals 0"
"(Mortal(v) → Loves(0,x))","If v is mortal, then 0 loves x"
"∃z ∀v (Odd(v) → (Mortal(w) ∧ Greater(v,y)))","There exists z, For every v, if v is odd, then w is mortal and v is greater than y"
(∀v (Even(v) → (Student(1) ↔ Prime(y))) → ¬∀z (Dog(z) → Professor(f(z)))),"If For every v, if v is even, then 1 is a student if and only if y is prime, then It is not the case that For every z, if z is a dog, then f(z) is a professor"
"(Knows(y,v) ∧ ((Professor(v) ∧ ParentOf(z,w)) ∧ (Loves(2,2) ↔ Mortal(z))))",Y knows v and v is a professor and z is a parent of w and 2 loves 2 if and only if z is mortal
"(∃y (Dog(y) ∧ Knows(g(u),x)) ∨ ∃y Subset(1,g(z)))","There exists y such that y is a dog and g(u) knows x or There exists y, 1 is a subset of g(z)"
¬∀w (Student(w) → ∃x (Cat(x) ∧ Human(z))),"It is not the case that For every w, if w is a student, then There exists x such that x is a cat and z is a human"
"(Dog(u) ∨ ∃x (Mortal(x) ∧ ¬Member(w,x)))",U is a dog or There exists x such that x is mortal and It is not the case that w is a member of x
Animal(h(h(w))),H(h(w)) is an animal
"Less(y,1)",Y is less than 1
∃w ¬∀x Human(1),"There exists w, It is not the case that For every x, 1 is a human"
∀w (Odd(w) → ∀u ¬Student(f(z))),"For every w, if w is odd, then For every u, It is not the case that f(z) is a student"
"¬(∀u (Even(u) → Dog(w)) ∧ Loves(a,w))","It is not the case that For every u, if u is even, then w is a dog and a loves w"
"¬∃u (Professor(u) ∧ Less(h(v),a))",It is not the case that There exists u such that u is a professor and h(v) is less than a
"¬¬∃v (Animal(v) ∧ Friend(w,f(w)))",It is not the case that It is not the case that There exists v such that v is an animal and w is a friend of f(w)
"(((Student(b) ∨ w = a) ↔ (ParentOf(u,h(w)) → Subset(z,y))) ∨ Dog(v))","B is a student or w equals a if and only if if u is a parent of h(w), then z is a subset of y or v is a dog"
((Student(z) ↔ Prime(u)) ∧ ¬(Dog(a) ↔ Cat(v))),Z is a student if and only if u is prime and It is not the case that a is a dog if and only if v is a cat
"¬∀z (Prime(z) → ¬Greater(a,h(w)))","It is not the case that For every z, if z is prime, then It is not the case that a is greater than h(w)"
"((¬Knows(x,0) ∨ (Knows(u,z) ↔ Subset(v,1))) ∧ ∃v (Human(v) ∧ ∃u (Even(u) ∧ Odd(w))))",It is not the case that x knows 0 or u knows z if and only if v is a subset of 1 and There exists v such that v is a human and There exists u such that u is even and w is odd
"((¬Equal(x,0) → (Animal(v) ∧ Dog(h(y)))) ∧ ¬(b = y ∧ Human(y)))","If It is not the case that x is equal to 0, then v is an animal and h(y) is a dog and It is not the case that b equals y and y is a human"
"(∃v (Human(v) ∧ (Odd(1) ∨ Student(x))) ∧ Member(g(g(x)),x))",There exists v such that v is a human and 1 is odd or x is a student and g(g(x)) is a member of x
"∀v (Professor(v) → (∀y (Even(y) → ParentOf(1,h(u))) → ¬Odd(w)))","For every v, if v is a professor, then if For every y, if y is even, then 1 is a parent of h(u), then It is not the case that w is odd"
(Prime(f(u)) ∧ ∀w ∃v (Professor(v) ∧ Human(h(1)))),"F(u) is prime and For every w, There exists v such that v is a professor and h(1) is a human"
"(∀z (Prime(z) → (Friend(v,h(w)) → Knows(a,w))) → Student(v))","If For every z, if z is prime, then if v is a friend of h(w), then a knows w, then v is a student"
∃v (Professor(v) ∧ Even(g(g(y)))),There exists v such that v is a professor and g(g(y)) is even
"¬(x = u ↔ (Loves(f(v),u) ∧ Mortal(y)))",It is not the case that x equals u if and only if f(v) loves u and y is mortal
"¬¬(Even(x) ∧ ParentOf(b,y))",It is not the case that It is not the case that x is even and b is a parent of y
"Equal(v,c)",V is equal to c
"¬∀u (Student(u) → ¬Loves(x,1))","It is not the case that For every u, if u is a student, then It is not the case that x loves 1"
"((Knows(a,u) ∨ ¬Prime(z)) ∨ ¬Animal(w))",A knows u or It is not the case that z is prime or It is not the case that w is an animal
"(Subset(v,f(x)) ∧ ∃u (Even(u) ∧ ∃u (Animal(u) ∧ Loves(1,x))))",V is a subset of f(x) and There exists u such that u is even and There exists u such that u is an animal and 1 loves x
"(Greater(u,v) ∧ Less(v,f(y)))",U is greater than v and v is less than f(y)
∃u ∃x ∃v (Professor(v) ∧ Cat(2)),"There exists u, There exists x, There exists v such that v is a professor and 2 is a cat"
"(Likes(h(z),u) → Professor(w))","If h(z) likes u, then w is a professor"
"(¬∀z (Dog(z) → Friend(f(u),z)) ∨ ∀w ∀w Knows(v,z))","It is not the case that For every z, if z is a dog, then f(u) is a friend of z or For every w, For every w, v knows z"
¬∀u ∀v (Prime(v) → Human(0)),"It is not the case that For every u, For every v, if v is prime, then 0 is a human"
"∀u Knows(1,a)","For every u, 1 knows a"
"((¬Student(1) → Member(b,h(z))) ↔ Greater(1,h(v)))","If It is not the case that 1 is a student, then b is a member of h(z) if and only if 1 is greater than h(v)"
"(Less(h(u),v) ∧ (∀w Human(h(x)) ∨ Subset(b,v)))","H(u) is less than v and For every w, h(x) is a human or b is a subset of v"
"(((Cat(f(g(x))) ∧ Animal(a)) ∨ (Dog(f(w)) ↔ Dog(f(v)))) ↔ ¬∀z (Dog(z) → Loves(c,w)))","F(g(x)) is a cat and a is an animal or f(w) is a dog if and only if f(v) is a dog if and only if It is not the case that For every z, if z is a dog, then c loves w"
∃z Odd(z),"There exists z, z is odd"
"∀w (Animal(w) → ∃v Loves(2,g(y)))","For every w, if w is an animal, then There exists v, 2 loves g(y)"
(Mortal(g(v)) → ((h(x) = u → Even(1)) ∨ Student(v))),"If g(v) is mortal, then if h(x) equals u, then 1 is even or v is a student"
"¬∀z (Even(z) → Member(f(b),y))","It is not the case that For every z, if z is even, then f(b) is a member of y"
"∃v (Student(v) ∧ (¬Greater(u,z) ∨ Greater(u,y)))",There exists v such that v is a student and It is not the case that u is greater than z or u is greater than y
∀y ∀v Prime(b),"For every y, For every v, b is prime"
∀w (Even(w) → ¬Student(w)),"For every w, if w is even, then It is not the case that w is a student"
"Less(w,f(y))",W is less than f(y)
∃x (Prime(x) ∧ ∃y (Mortal(y) ∧ c = 0)),There exists x such that x is prime and There exists y such that y is mortal and c equals 0
∃z (Cat(z) ∧ ∃z (Odd(z) ∧ ¬Student(u))),There exists z such that z is a cat and There exists z such that z is odd and It is not the case that u is a student
(Animal(v) ∧ Dog(1)),V is an animal and 1 is a dog
Dog(h(y)),H(y) is a dog
"Member(f(y),a)",F(y) is a member of a
"∀y (Odd(y) → ParentOf(h(z),g(u)))","For every y, if y is odd, then h(z) is a parent of g(u)"
∀x (Student(x) → ∀u (Odd(u) → ∀v g(f(u)) = g(w))),"For every x, if x is a student, then For every u, if u is odd, then For every v, g(f(u)) equals g(w)"
"∃v (Professor(v) ∧ (∃y (Even(y) ∧ g(0) = x) ∨ (Equal(v,w) ↔ Professor(u))))",There exists v such that v is a professor and There exists y such that y is even and g(0) equals x or v is equal to w if and only if u is a professor
"∀u (Human(u) → ¬∃w Friend(v,f(y)))","For every u, if u is a human, then It is not the case that There exists w, v is a friend of f(y)"
"∃y (Dog(y) ∧ ¬Loves(w,g(w)))",There exists y such that y is a dog and It is not the case that w loves g(w)
"(¬∀x (Mortal(x) → Greater(c,x)) → ¬Professor(z))","If It is not the case that For every x, if x is mortal, then c is greater than x, then It is not the case that z is a professor"
"(Subset(z,g(w)) ∧ (∃x (Even(x) ∧ Greater(h(g(a)),y)) ↔ ¬w = a))",Z is a subset of g(w) and There exists x such that x is even and h(g(a)) is greater than y if and only if It is not the case that w equals a
"(Greater(2,z) ∧ Member(g(u),h(u)))",2 is greater than z and g(u) is a member of h(u)
"∃x (Cat(x) ∧ Likes(w,x))",There exists x such that x is a cat and w likes x
"(u = z ∨ ¬Member(z,h(v)))",U equals z or It is not the case that z is a member of h(v)
∃z ¬v = y,"There exists z, It is not the case that v equals y"
"(¬Likes(u,g(g(0))) ↔ Even(v))",It is not the case that u likes g(g(0)) if and only if v is even
"((∀y Friend(v,g(b)) ↔ (Dog(2) ↔ Student(b))) ↔ ∀z ¬Equal(y,x))","For every y, v is a friend of g(b) if and only if 2 is a dog if and only if b is a student if and only if For every z, It is not the case that y is equal to x"
"ParentOf(h(g(x)),0)",H(g(x)) is a parent of 0
"¬¬Subset(f(g(u)),f(z))",It is not the case that It is not the case that f(g(u)) is a subset of f(z)
"((Knows(y,2) ∧ ∀y (Even(y) → h(v) = w)) ∨ z = w)","Y knows 2 and For every y, if y is even, then h(v) equals w or z equals w"
"∀y (Human(y) → Likes(z,u))","For every y, if y is a human, then z likes u"
"Friend(g(w),z)",G(w) is a friend of z
"Friend(w,v)",W is a friend of v
"(¬∀v (Cat(v) → Animal(u)) ∧ Friend(x,w))","It is not the case that For every v, if v is a cat, then u is an animal and x is a friend of w"
∀x (Student(x) → Cat(x)),"For every x, if x is a student, then x is a cat"
"¬∀u Greater(c,b)","It is not the case that For every u, c is greater than b"
"∃v (Dog(v) ∧ ∀y (Mortal(y) → (Prime(b) ∧ Knows(y,z))))","There exists v such that v is a dog and For every y, if y is mortal, then b is prime and y knows z"
Human(g(h(v))),G(h(v)) is a human
∃x (Student(x) ∧ Odd(h(x))),There exists x such that x is a student and h(x) is odd
∀u Prime(a),"For every u, a is prime"
"¬Equal(x,z)",It is not the case that x is equal to z
"¬(Less(w,w) ∨ ∀z Member(v,x))","It is not the case that w is less than w or For every z, v is a member of x"
"ParentOf(w,v)",W is a parent of v
Professor(f(b)),F(b) is a professor
¬u = h(a),It is not the case that u equals h(a)
"∃x (Cat(x) ∧ ¬¬Equal(0,f(y)))",There exists x such that x is a cat and It is not the case that It is not the case that 0 is equal to f(y)
Human(f(g(w))),F(g(w)) is a human
"(¬(x = x ∧ Knows(1,z)) → ∀u (Dog(h(x)) ↔ Friend(2,u)))","If It is not the case that x equals x and 1 knows z, then For every u, h(x) is a dog if and only if 2 is a friend of u"
(∀v ∀x Odd(c) → Even(x)),"If For every v, For every x, c is odd, then x is even"
"∀x ¬(Friend(x,y) → w = y)","For every x, It is not the case that if x is a friend of y, then w equals y"
"Loves(1,h(v))",1 loves h(v)
"(¬¬ParentOf(w,2) → ¬(Less(x,2) ∧ 2 = h(z)))","If It is not the case that It is not the case that w is a parent of 2, then It is not the case that x is less than 2 and 2 equals h(z)"
(Mortal(w) → ∀v (Animal(v) → Mortal(f(y)))),"If w is mortal, then For every v, if v is an animal, then f(y) is mortal"
"Member(z,h(w))",Z is a member of h(w)
∀u ¬∃u (Mortal(u) ∧ 0 = 1),"For every u, It is not the case that There exists u such that u is mortal and 0 equals 1"
"∃w (Student(w) ∧ (Prime(0) ∨ (g(x) = v ∨ Likes(v,y))))",There exists w such that w is a student and 0 is prime or g(x) equals v or v likes y
"∀z ((Knows(b,x) → Animal(y)) ∨ ∀v Even(x))","For every z, if b knows x, then y is an animal or For every v, x is even"
Mortal(h(2)),H(2) is mortal
"∀v (Even(v) → (Human(x) → Loves(b,f(z))))","For every v, if v is even, then if x is a human, then b loves f(z)"
"(¬∃z (Mortal(z) ∧ Member(1,z)) → ∀w Knows(u,z))","If It is not the case that There exists z such that z is mortal and 1 is a member of z, then For every w, u knows z"
"(Less(x,c) ↔ (Dog(x) ∨ Dog(v)))",X is less than c if and only if x is a dog or v is a dog
(∀z Professor(f(z)) ↔ ∃w (Mortal(w) ∧ (Prime(v) → c = g(w)))),"For every z, f(z) is a professor if and only if There exists w such that w is mortal and if v is prime, then c equals g(w)"
"∃y (∃w (Human(w) ∧ h(w) = a) ∨ ¬ParentOf(f(x),x))","There exists y, There exists w such that w is a human and h(w) equals a or It is not the case that f(x) is a parent of x"
∀x ¬Cat(1),"For every x, It is not the case that 1 is a cat"
"∀w ¬(Cat(c) ∧ Subset(y,x))","For every w, It is not the case that c is a cat and y is a subset of x"
"(((Prime(0) ∧ ParentOf(v,g(w))) ∨ ∃x (Odd(x) ∧ Loves(v,u))) ∨ (∃z (Cat(z) ∧ Odd(2)) ∧ (Friend(g(x),y) ∨ w = 1)))",0 is prime and v is a parent of g(w) or There exists x such that x is odd and v loves u or There exists z such that z is a cat and 2 is odd and g(x) is a friend of y or w equals 1
"Loves(f(z),y)",F(z) loves y
¬(Even(0) → (Student(y) ∧ Animal(w))),"It is not the case that if 0 is even, then y is a student and w is an animal"
"Equal(g(u),u)",G(u) is equal to u
"(∀w (Even(w) → ∀x Human(x)) → (Equal(a,w) ∨ (w = a ↔ Member(f(v),v))))","If For every w, if w is even, then For every x, x is a human, then a is equal to w or w equals a if and only if f(v) is a member of v"
"Equal(g(w),b)",G(w) is equal to b
"¬Less(2,a)",It is not the case that 2 is less than a
¬(∀y (Professor(y) → Dog(x)) → ¬Odd(h(v))),"It is not the case that if For every y, if y is a professor, then x is a dog, then It is not the case that h(v) is odd"
"(¬¬Member(h(f(u)),c) ∨ Knows(z,f(w)))",It is not the case that It is not the case that h(f(u)) is a member of c or z knows f(w)
"∃u ∃z (Professor(v) → Likes(y,h(x)))","There exists u, There exists z, if v is a professor, then y likes h(x)"
"((Less(h(c),g(h(z))) ↔ Greater(u,v)) ∧ ¬g(y) = c)",H(c) is less than g(h(z)) if and only if u is greater than v and It is not the case that g(y) equals c
(f(x) = x ↔ Human(x)),F(x) equals x if and only if x is a human
"Knows(w,w)",W knows w
"∀z Knows(z,u)","For every z, z knows u"
"∀y ¬(ParentOf(w,h(v)) ↔ Cat(v))","For every y, It is not the case that w is a parent of h(v) if and only if v is a cat"
